counter,StopId,StopName,StreetNum,OnStreet,AtStreet,UTAStopID,latitude,longitude
3778,23068,DAYBREAK RIM WAY @ 4661 W ,4661,W DAYBREAK RIM WAY ,DAYTIDE AVE ,198017,40.545922,-112.002091
3779,23078,5400 S @ 1434 W ,1434,W 5400 S ,1500 W ,198018,40.65318699,-111.933013
3780,23086,REDWOOD RD @ 3575 S ,3575,S REDWOOD RD ,3500 S ,198024,40.69531804,-111.938774
3781,23090,100 S @ 55 E ,55,E 100 S ,Regent St ,198026,40.76731296,-111.8897131
3782,23109,REDWOOD RD @ 2777 S ,2777,S REDWOOD RD ,Southgate Ave ,198029,40.71088999,-111.938807
3783,23125,STATE ST @ 6548 S ,6548,S STATE ST ,6600 S ,198031,40.62992004,-111.889908
3784,23126,STATE ST @ 6850 S ,6850,S STATE ST ,6790 S ,198033,40.62617098,-111.890238
3785,23306,STATE ST @ 6960 S ,6960,S STATE ST ,CARLSON AVE ,198034,40.62459996,-111.890366
3786,23127,STATE ST @ 7050 S ,7050,S STATE ST ,7060 S ,198035,40.62339502,-111.89051
3787,23128,STATE ST @ 7292 S ,7292,S STATE ST ,7200 S ,198036,40.61883803,-111.890785
3788,23129,STATE ST @ 7434 S ,7434,S STATE ST ,7500 S ,198037,40.616344,-111.890841
3789,23130,STATE ST @ 6801 S ,6801,S STATE ST ,6790 S ,198038,40.627718,-111.889763
3790,23131,STATE ST @ 7009 S ,7009,S STATE ST ,CARLSON AVE ,198039,40.62415804,-111.89008
3791,23133,STATE ST @ 7345 S ,7345,S STATE ST ,7500 S ,198041,40.61812403,-111.890467
3792,23134,STATE ST @ 7725 S ,7725,S STATE ST ,7660 S ,198042,40.61067698,-111.890564
3793,23144,13400 S @ 3378 W ,3378,W 13400 S ,Arosa Way ,198043,40.50791499,-111.971737
3794,23177,13400 S @ 3435 W ,3435,W 13400 S ,Chamonix Way ,198044,40.50770599,-111.973086
3795,23166,NORTH TEMPLE ST @ 650 W ,650,W NORTH TEMPLE ST ,600 N ,198046,40.77163298,-111.910589
3796,23169,NORTH TEMPLE ST @ 1552 W ,1552,W NORTH TEMPLE ST ,1000 W ,198049,40.77167897,-111.93555
3797,23170,NORTH TEMPLE ST @ 1948 W ,1948,W NORTH TEMPLE ST ,1950 W ,198050,40.77171801,-111.946527
3798,23176,NORTH TEMPLE ST @ 1758 W ,1758,W NORTH TEMPLE ST ,DUDER ST ,198056,40.77168999,-111.941097
3799,23237,12600 S @ 1605 W ,1605,W 12600 S ,REDWOOD RD ,198057,40.52219003,-111.936346
3800,23239,JORDAN GATEWAY @ 10351 S ,10351,S JORDAN GATEWAY ,REDWOOD RD ,198059,40.56349496,-111.900921
3801,23240,JORDAN GATEWAY @ 10351 S ,10351,S JORDAN GATEWAY ,REDWOOD RD ,198060,40.56311102,-111.900953
3802,23241,100 S @ 56 W ,56,W 100 S ,REDWOOD RD ,198061,40.76729101,-111.892753
