BEB,SoC,Mileage,Route,Location
1023,0,0,0,0
3072,0,0,0,0
3003,0,0,0,0
3006,0,0,0,0
3013,0,0,0,0
3018,0,0,0,0
3019,0,0,0,0
3021,0,0,0,0
3024,0,0,0,0
3031,0,0,0,0
3034,0,0,0,0
3044,0,0,0,0
3046,0,0,0,0
3047,0,0,0,0
3048,0,0,0,0
3049,0,0,0,0
3052,0,0,0,0
3053,0,0,0,0
3055,0,0,0,0
3057,0,0,0,0
3058,0,0,0,0
3059,0,0,0,0
3066,0,0,0,0
3070,0,0,0,0
1025,0,0,0,0
1026,0,0,0,0
1029,0,0,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1042,0,0,0,0
1044,0,0,0,0
1049,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1055,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1061,0,0,0,0
1063,0,0,0,0
1066,0,0,0,0
1068,0,0,0,0
1069,0,0,0,0
1070,0,0,0,0
1071,0,0,0,0
1073,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,0,0,0,0
1084,0,0,0,0
1090,0,0,0,0
1092,0,0,0,0
1094,0,0,0,0
1097,0,0,0,0
1100,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1107,0,0,0,0
1110,0,0,0,0
1112,0,0,0,0
1114,0,0,0,0
1115,0,0,0,0
1200,0,0,0,0
1203,0,0,0,0
1204,0,0,0,0
1206,0,0,0,0
1207,0,0,0,0
4007,0,0,0,0
4013,0,0,0,0
4077,0,0,0,0
4078,0,0,0,0
3350,0,0,0,0
4048,0,0,0,0
4049,0,0,0,0
1021,0,0,0,0
4052,0,0,0,0
4054,0,0,0,0
1016,0,0,0,0
4064,0,0,0,0
4066,0,0,0,0
1006,0,0,0,0
4002,0,0,0,0
4004,0,0,0,0
4005,0,0,0,0
4006,0,0,0,0
1009,0,0,0,0
4008,0,0,0,0
4011,0,0,0,0
1010,0,0,0,0
4014,0,0,0,0
4017,0,0,0,0
4020,0,0,0,0
4022,0,0,0,0
4023,0,0,0,0
4024,0,0,0,0
4026,0,0,0,0
4028,0,0,0,0
4029,0,0,0,0
4030,0,0,0,0
1013,0,0,0,0
4032,0,0,0,0
4034,0,0,0,0
4035,0,0,0,0
1014,0,0,0,0
4039,0,0,0,0
4042,0,0,0,0
1015,0,0,0,0
4044,0,0,0,0
4045,0,0,0,0
4047,0,0,0,0
2001,0,0,0,0
2002,0,0,0,0
2006,0,0,0,0
2008,0,0,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2016,0,0,0,0
2018,0,0,0,0
2020,0,0,0,0
2021,0,0,0,0
2022,0,0,0,0
2028,0,0,0,0
2030,0,0,0,0
2032,0,0,0,0
2033,0,0,0,0
2038,0,0,0,0
2040,0,0,0,0
2045,0,0,0,0
2046,0,0,0,0
2047,0,0,0,0
2063,0,0,0,0
2066,0,0,0,0
3150,0,0,0,0
3151,0,0,0,0
3152,0,0,0,0
3153,0,0,0,0
3160,0,0,0,0
3161,0,0,0,0
3162,0,0,0,0
3163,0,0,0,0
3054,0,0,0,0
1030,0,0,0,0
1032,0,0,0,0
1045,0,0,0,0
1062,0,0,0,0
1081,0,0,0,0
1086,0,0,0,0
1093,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1109,0,0,0,0
1111,0,0,0,0
1113,0,0,0,0
1116,0,0,0,0
1117,0,0,0,0
1118,0,0,0,0
1119,0,0,0,0
1120,0,0,0,0
1121,0,0,0,0
1122,0,0,0,0
1123,0,0,0,0
1201,0,0,0,0
1205,0,0,0,0
1208,0,0,0,0
4085,0,0,0,0
1303,0,0,0,0
1312,0,0,0,0
1316,0,0,0,0
1318,0,0,0,0
1321,0,0,0,0
1324,0,0,0,0
1332,0,0,0,0
1335,0,0,0,0
1339,0,0,0,0
4076,0,0,0,0
4063,0,0,0,0
2042,0,0,0,0
